railway_station_code,railway_station_name,railway_latitude,railway_longitude,ghcnh_station_id,ghcnh_station_name,ghcnh_latitude,ghcnh_longitude,distance_km
AADR,Amb  Andaura,31.670727,76.110391,42077099999,UNA,31.467,76.267,27.08
AAG,Angar,17.954256,75.599875,43071099999,JEUR,18.2,75.2,50.33
AAL,Amlai,23.173469,81.593507,42779099999,PENDRA ROAD,22.767,81.9,55.02
AAM,Angadippuram,10.979489000000001,76.20734300000001,42705599999,CALICUT,11.137,75.955,32.64
AAR,Adesar,23.552978399500002,70.9720505023,42638099999,KANDLA AERODROME,23.15,70.117,98.12
AAS,Asranada,26.397374,73.30532500000001,42339099999,JODHPUR,26.251,73.049,30.29
AAY,Aralvaymoli,8.2494513612,77.5292646945,43377099999,KANNIYAKUMARI,8.083,77.5,18.79
AB,Ambur,12.782934,78.721266,43302099999,TIRUPPATTUR,12.483,78.567,37.32
ABD,Ambli Road,23.05437,72.494044,42647099999,AHMEDABAD / SARDAR VALLABHBHAI PATEL INTL,23.077,72.635,14.64
ABI,Ambaturai,10.272226,77.924468,43359099999,MADURAI,9.917,78.117,44.77
ABKA,Ambika Kalna,23.211377,88.353984,42714099999,BAGATI,22.983,88.367,25.43
ABKP,Ambikapur,23.137032,83.14510899999999,42693099999,AMBIKAPUR,23.167,83.25,11.23
ABLE,Ambale,18.398719,74.171511,43063099999,PUNE,18.533,73.85,37.05
ABO,Asthal Bohar,28.857765,76.629155,42176099999,ROHTAK,28.833,76.583,5.27
ABP,Akbarpur,26.429818,82.539073,42279099999,BASTI,26.8,82.733,45.45
ABR,Abu Road,24.470775,72.775695,42540099999,MOUNT ABU,24.6,72.717,15.55
ABS,Abohar,30.1393834225,74.19568617739999,42123099999,GANGANAGAR,29.917,73.917,36.49
ABSA,Ambassa,23.930507,91.860783,41915099999,SRIMANGAL,24.3,91.733,43.08
ABU,Ambattur,13.114305980800001,80.1525249074,43278099999,NUMGAMBAKKAM,13.067,80.2,7.36
ACG,Achegaon,20.976217,75.934247,42851099999,JALGAON,21.05,75.567,38.99
ACH,Achalganj,26.444642,80.54541499999999,42367099999,KANPUR CHAKERI,26.404,80.41,14.22
ACL,Ancheli,20.845167,72.944978,42915099999,BULSAR,20.617,72.933,25.4
ACLE,Azimganj City,24.237941,88.25887100000001,42603099999,BERHAMPORE,24.133,88.267,11.7
ACN,Adhichchanur,12.05415,79.182478,43331099999,M.O. PONDICHERRY,11.967,79.817,69.69
AD,Adoni,15.617035,77.27485,43169099999,RAICHUR,16.2,77.35,65.32
ADB,Adilabad,19.680104,78.535285,43025099999,ADILABAD,19.65,78.533,3.36
ADH,Andheri,19.1174289,72.84685300000001,43003099999,CHHATRAPATI SHIVAJI MAHARAJ INTL,19.089,72.868,3.86
ADHL,Adihalli,13.2834201678,76.3472840454,43263099999,HASSAN,12.967,76.333,35.22
ADI,Ahmedabad,23.025515,72.601516,42647099999,AHMEDABAD / SARDAR VALLABHBHAI PATEL INTL,23.077,72.635,6.67
ADL,Andul,22.575169,88.239643,42807099999,BEHALA,22.505,88.293,9.53
ADR,Mandi Adampur,29.283136000000002,75.468851,42131099999,HISAR,29.179,75.755,30.08
ADRA,Adra,23.495992,86.67466499999999,42705099999,PURULIA,23.333,86.417,31.93
ADST,Adi Saptagram,22.95447,88.378872,42714099999,BAGATI,22.983,88.367,3.4
ADT,Aduturai,11.009165,79.478668,43346099999,KARAIKAL,10.917,79.833,40.02
ADTL,Adhartal,23.227389,79.972274,42675099999,JABALPUR,23.178,80.052,9.83
ADTP,Adityapur,22.782212,86.158954,42798099999,JAMSHEDPUR,22.813,86.169,3.58
ADVI,Adavali,16.921753,73.592514,43110099999,RATNAGIRI,16.983,73.333,28.43
ADX,Adapur,26.924721,84.941759,44449099999,SIMARA,27.159,84.98,26.32
AED,Aulenda,27.029152,77.612583,42260099999,AGRA,27.156,77.961,37.26
AEH,Anant Paith,25.955389501299997,78.2761320917,42460099999,DATIA,25.667,78.467,37.33
AEK,Anekal Road,12.723885,77.71072699999999,43302599999,BANGALORE / HAL AIRPORT BENGALURU,12.95,77.668,25.57
AEL,Ateli,28.100118,76.25310499999999,42177099999,NARNAUL,28.0,76.083,20.06
AF,Agra Fort,27.183308,78.0191,42260099999,AGRA,27.156,77.961,6.5
AFK,Angamali,10.183676,76.37786,43351099999,FORT COCHIN,9.967,76.233,28.84
AFR,Asafpur,28.405553,78.905957,42187099999,MORADABAD,28.833,78.75,49.91
AGB,Ambagaon,19.062527,82.239507,43041099999,JAGDALPUR,19.083,82.033,21.82
AGC,Agra Cantt,27.157992,77.990153,42260099999,AGRA,27.156,77.961,2.89
AGI,Amguri,26.812601,94.524011,42423199999,JORHAT,26.732,94.176,35.69
AGMN,Agomoni,26.225947,89.786242,42404099999,DHUBRI,26.017,89.983,30.43
AGN,Amgaon,21.361292855400002,80.3746491022,42871099999,GONDIA ARPT/BIRSI,21.524,80.288,20.19
AGR,Amargarh,23.080689,74.747038,42661099999,RATLAM,23.317,75.05,40.61
AGTL,Agartala,23.792417,91.278481,42724099999,AGARTALA,23.887,91.24,11.22
AGV,Angua,21.892581999999997,87.26992299999999,42901099999,DIGHA,21.617,87.5,38.78
AGZ,Amagura,19.068103,82.147342,43041099999,JAGDALPUR,19.083,82.033,12.13
AH,Achhnera,27.1817602284,77.7578389026,42260099999,AGRA,27.156,77.961,20.3
AHA,Abhaipur,25.2159864584,86.32307245909999,42498099999,BHAGALPUR,25.233,86.95,63.09
AHH,Ahmadgarh,30.683642000000003,75.829518,42099099999,LUDHIANA,30.867,75.933,22.66
AHN,Ahiran,24.517687000000002,88.04112500000001,42603099999,BERHAMPORE,24.133,88.267,48.51
AI,Adipur,23.077052700000003,70.0786586,42638099999,KANDLA AERODROME,23.15,70.117,9.01
AIA,Ajaraka,27.959391,76.56420899999999,42177099999,NARNAUL,28.0,76.083,47.47
AII,Ajmer,26.456612,74.63746400000001,42343099999,AJMER,26.45,74.617,2.17
AIT,Ait,25.903719000000002,79.230436,42468099999,ORAI,25.983,79.5,28.36
AJE,Anjar,23.1194723,70.0366109,42638099999,KANDLA AERODROME,23.15,70.117,8.89
AJI,Anjhi Shahabad,27.643994,79.973314,42266099999,SHAHJAHANPUR,27.883,79.9,27.54
AJJ,Arakkonam,13.081512,79.667991,43277099999,TIRUTTANI,13.15,79.533,16.48
AJK,Ajakollu,16.3467833327,77.8736361627,43168099999,MAHABUBNAGAR,16.75,78.0,46.82
