station_code,station_name,latitude,longitude,state,zone,has_coordinates
AADR,Amb  Andaura,31.670727,76.110391,,,True
AAG,Angar,17.954256,75.599875,,,True
AAL,Amlai,23.173469,81.593507,,,True
AAM,Angadippuram,10.979489000000001,76.20734300000001,Kerala,SR,True
AAR,Adesar,23.552978399500002,70.9720505023,Gujarat,WR,True
AAS,Asranada,26.397374,73.30532500000001,,,True
AAY,Aralvaymoli,8.2494513612,77.5292646945,Tamil Nadu,SR,True
AB,Ambur,12.782934,78.721266,,,True
ABD,Ambli Road,23.05437,72.494044,,,True
ABI,Ambaturai,10.272226,77.924468,,,True
ABKA,Ambika Kalna,23.211377,88.353984,West Bengal,ER,True
ABKP,Ambikapur,23.137032,83.14510899999999,Chhattisgarh,SECR,True
ABLE,Ambale,18.398719,74.171511,Maharashtra,CR,True
ABO,Asthal Bohar,28.857765,76.629155,Haryana,NR,True
ABP,Akbarpur,26.429818,82.539073,,,True
ABR,Abu Road,24.470775,72.775695,Rajasthan,NWR,True
ABRV,Ambari Richhavi,,,,,False
ABS,Abohar,30.1393834225,74.19568617739999,Punjab,NR,True
ABSA,Ambassa,23.930507,91.860783,Tripura,NFR,True
ABU,Ambattur,13.114305980800001,80.1525249074,,,True
ACG,Achegaon,20.976217,75.934247,,,True
ACH,Achalganj,26.444642,80.54541499999999,Uttar Pradesh,NR,True
ACL,Ancheli,20.845167,72.944978,Gujarat,WR,True
ACLE,Azimganj City,24.237941,88.25887100000001,West Bengal,ER,True
ACN,Adhichchanur,12.05415,79.182478,,,True
ACPR,Archipathar,,,,,False
ACRN,Achirne,,,,,False
AD,Adoni,15.617035,77.27485,,,True
ADB,Adilabad,19.680104,78.535285,Andhra Pradesh,SCR,True
ADH,Andheri,19.1174289,72.84685300000001,Maharashtra,WR,True
ADHL,Adihalli,13.2834201678,76.3472840454,Karnataka,SWR,True
ADI,Ahmedabad,23.025515,72.601516,,,True
ADL,Andul,22.575169,88.239643,,,True
ADPT,Andipatti,,,,,False
ADR,Mandi Adampur,29.283136000000002,75.468851,Haryana,NWR,True
ADRA,Adra,23.495992,86.67466499999999,West Bengal,SER,True
ADST,Adi Saptagram,22.95447,88.378872,,,True
ADT,Aduturai,11.009165,79.478668,Tamil Nadu,SR,True
ADTL,Adhartal,23.227389,79.972274,Madhya Pradesh,WCR,True
ADTP,Adityapur,22.782212,86.158954,,,True
ADVI,Adavali,16.921753,73.592514,Maharashtra,KR,True
ADX,Adapur,26.924721,84.941759,,,True
AED,Aulenda,27.029152,77.612583,Uttar Pradesh,NCR,True
AEH,Anant Paith,25.955389501299997,78.2761320917,,,True
AEK,Anekal Road,12.723885,77.71072699999999,Karnataka,SWR,True
AEL,Ateli,28.100118,76.25310499999999,Haryana,NWR,True
AF,Agra Fort,27.183308,78.0191,,,True
AFK,Angamali,10.183676,76.37786,,,True
AFR,Asafpur,28.405553,78.905957,Uttar Pradesh,NR,True
AGAS,Agas,,,,,False
AGB,Ambagaon,19.062527,82.239507,Chhattisgarh,ECoR,True
AGC,Agra Cantt,27.157992,77.990153,,,True
AGI,Amguri,26.812601,94.524011,Assam,NFR,True
AGMN,Agomoni,26.225947,89.786242,,,True
AGN,Amgaon,21.361292855400002,80.3746491022,,,True
AGR,Amargarh,23.080689,74.747038,,,True
AGTL,Agartala,23.792417,91.278481,Tripura,NFR,True
